id,name,description,latitude,longitude,open_time,close_time,category,rating,price_level,price_average,price_currency,address
28,Aquiles,"Restaurante de chef Aquiles Chávez en Roma Norte, mexicana contemporánea.",19.4215,-99.1595,13:00,22:30,restaurante,4.6,$$,500,MXN,"Tamaulipas 72, Roma Norte"
29,Ciena,"Casual, sandwiches, vino y brunch en Condesa.",19.416,-99.169,8:00,23:00,restaurante,4.5,$$,300,MXN,"Alfonso Reyes 101, Condesa"
30,Cook Ramen,"Ramen coreano-japonés, muy aclamado y abierto 24h.",19.4172,-99.17,0:00,23:59,restaurante,4.5,$,200,MXN,"Tlaxcala 165, Condesa"
31,50 Friends,Pizzería con pastas y vinos en Condesa.,19.4158,-99.1685,13:00,23:00,restaurante,4.6,$$,350,MXN,"Cadereyta 19, Condesa"
32,La Taberna del Chanclas,Tapas y ambiente taurino clásico en Condesa.,19.4162,-99.1687,13:00,23:00,restaurante,4.4,$$,400,MXN,"Aguascalientes 206, Condesa"
33,Plonk,Wine bar con cocina mexicana-asiática en Condesa.,19.4155,-99.168,15:00,1:00,restaurante,4.4,$$,450,MXN,"Iztaccíhuatl 52, Condesa"
34,Nonna Roma,Otro branch de Nonna en Roma Norte.,19.4215,-99.159,13:00,22:30,restaurante,4.6,$$,450,MXN,"Álvaro Obregón 164, Roma Norte"
35,HOMARE,"Cocina tradicional japonesa en Condesa/Roma, muy recomendada.",19.417,-99.168,13:00,22:00,restaurante,4.9,$$$,650,MXN,"Alfonso Reyes 123, Condesa"
36,Santo Habanero,"Cocina cubana-mexicana en Roma Norte, 4.9 en TripAdvisor.",19.4218,-99.1592,13:00,23:00,restaurante,4.9,$$,550,MXN,"Guanajuato 204, Roma Norte"
37,Chiquitito Café,Café-restaurante casual en Condesa.,19.416,-99.1705,8:00,22:00,restaurante,4.5,$,150,MXN,"Yucatán 100, Condesa"
38,Postales de Café,Café/restaurante en Condesa con ambiente relajado.,19.4159,-99.171,8:00,22:00,restaurante,4.9,$,150,MXN,"Yucatán 120, Condesa"
39,Seven Buddhas Cafe,"Saludable, smoothies y bowls en ambiente zen.",19.414,-99.175,7:00,20:00,cafeteria,4.6,$$,200,MXN,"Atlixco 38, Condesa"
40,Amanda Manda,Brunch español‑mexicano acogedor.,19.4152,-99.1745,8:00,18:00,cafeteria,4.5,$$,180,MXN,"Av. Veracruz 102, Condesa"
41,Huset,Brunch vegetal en entorno verde.,19.4128,-99.1762,9:00,17:00,cafeteria,4.7,$$,220,MXN,"Amsterdam 121, Condesa"
42,Boicot Cafe,Cold brew creativo y pan artesanal.,19.4135,-99.176,8:00,19:00,cafeteria,4.6,$$,200,MXN,"Michoacán 45, Condesa"
43,Quentin Cafe,Especialidad en café con ambiente refinado.,19.42,-99.16,8:00,20:00,cafeteria,4.8,$$,220,MXN,"Álvaro Obregón 64, Roma Norte"
44,Blend Station,Espacio para nómadas digitales y buen café.,19.4145,-99.173,7:30,20:00,cafeteria,4.5,$$,200,MXN,"Tamaulipas 50, Condesa"
45,Malcriado,Orgánico con brunch y ambiente refinado.,19.416,-99.169,8:00,22:00,cafeteria,4.6,$$,210,MXN,"Atlixco 127, Condesa"
46,Efimero Cafe,"Acogedor, sillas de mimbre, café de especialidad.",19.413,-99.1755,8:00,19:00,cafeteria,4.7,$$,200,MXN,"Álvaro Obregón 200, Condesa"
47,CUMBE Coffee Roasters,Para conocedores con ambiente third‑wave.,19.4195,-99.1605,8:00,20:00,cafeteria,4.8,$$,230,MXN,"Jalapa 130, Roma Norte"
48,Cafe Nin,Brunch chic en edificio histórico.,19.4185,-99.1615,8:00,18:00,cafeteria,4.7,$$,200,MXN,"Calle Orizaba 20, Roma Norte"
49,Panaderia Rosetta,Panadería‑café famosa por sus rolls de guayaba.,19.415,-99.1618,8:00,20:00,cafeteria,4.8,$$,180,MXN,"Colima 179, Roma Norte"
50,Cardinal Café,"Cortado popular, ideal para llevar.",19.4148,-99.168,7:30,19:00,cafeteria,4.6,$$,150,MXN,"Monterrey 220, Condesa"
51,BUNA,"Mejor café mexicano, baristas expertos.",19.419,-99.161,8:00,19:00,cafeteria,4.9,$$,250,MXN,"Orizaba 42, Roma Norte"
52,Raku Cafe,Spot recomendado por baristas en Reddit.,19.4155,-99.172,8:00,19:00,cafeteria,4.7,$$,180,MXN,"Atlixco 60, Condesa"
53,Almanegra,Especialidad en cafés de distintas regiones.,19.4205,-99.159,8:00,20:00,cafeteria,4.8,$$,220,MXN,"Álvaro Obregón 140, Roma Norte"
54,Finca Don Porfirio,Rooftop con vista y café de origen.,19.4198,-99.1625,8:00,19:00,cafeteria,4.8,$$,240,MXN,"Tacuba 20, Centro (cerca Roma)"
55,Cafe Avellaneda,"Apoya productores rurales, de autor.",19.348,-99.162,9:00,20:00,cafeteria,4.8,$,150,MXN,"Higuera 40-A, Coyoacán"
56,Cafe El Jarocho,"Clásico coyoacanense, café de olla tradicional.",19.354,-99.152,6:30,22:00,cafeteria,4.5,$,120,MXN,"Ignacio Allende 134, Coyoacán"
57,Tierra Garat,"Café y chocolate artesanal, ideal para lunch.",19.347,-99.161,8:00,20:00,cafeteria,4.6,$$,180,MXN,"Miguel Hidalgo 102a, Coyoacán"
58,Cafe Negro,Espacio ideal para trabajar con prensa francesa.,19.355,-99.153,7:00,19:00,cafeteria,4.7,$$,170,MXN,"Miguel Hidalgo s/n, Coyoacán"
59,Biblioteca Vasconcelos,Megabiblioteca icónica por su arquitectura y vasto acervo.,19.4791,-99.1426,8:30,19:30,biblioteca,4.8,$,0,MXN,"Eje 1 Norte s/n, Buenavista"
60,Biblioteca Central UNAM,Biblioteca con mural de Juan O'Gorman y más de 1M libros.,19.3319,-99.189,8:30,21:30,biblioteca,4.7,$,0,MXN,"Circuito Interior s/n, C.U."
61,Biblioteca de México,"Convertida de fábrica/tabacalera, gran acervo histórico.",19.4341,-99.1437,8:30,19:30,biblioteca,4.6,$,0,MXN,"De La Ciudadela 4, Centro Histórico"
62,Biblioteca Miguel Lerdo de Tejada,Belleza barroca y murales de Vlady; acervo especializado.,19.432,-99.141,9:00,18:00,biblioteca,4.5,$,0,MXN,"De La Ciudadela s/n, Centro Histórico"
63,Biblioteca Nacional de México,Sala Mexicana con textos desde 1554; hemeroteca.,19.3325,-99.1905,8:30,21:30,biblioteca,4.5,$,0,MXN,"Centro Cultural Universitario, C.U."
64,Biblioteca Francisco Xavier Clavigero,"Biblioteca de Ibero Santa Fe, acervo histórico universitario.",19.345,-99.24,7:00,21:00,biblioteca,4.4,$,0,MXN,"Santa Fe, Álvaro Obregón"
65,Biblioteca Rogerio Casas-Alatriste,Centro de documentación en arte y diseño (Museo Franz Mayer).,19.4325,-99.1415,10:00,18:00,biblioteca,4.4,$,0,MXN,"Av. Hidalgo 45, Centro"
66,Biblioteca Alonso Lujambio,Biblioteca pública protegiendo acervo iberoamericano.,19.365,-99.182,9:00,18:00,biblioteca,4.3,$,0,MXN,"Goya 51, Mixcoac"
67,Biblioteca Rosario Castellanos,"Especializada en estudios de género, en CU.",19.327,-99.167,9:00,17:00,biblioteca,4.3,$,0,MXN,"UNAM CU, Coyoacán"
68,Biblioteca Juan Comas,"Antropología, acervo de 50k títulos, UNAM CU.",19.333,-99.188,9:00,17:00,biblioteca,4.3,$,0,MXN,"Instituto de Investigaciones Antropológicas, CU"
69,Biblioteca del Congreso de la Unión,Acervo legislativo e histórico en edificio barroco.,19.4375,-99.133,9:00,18:00,biblioteca,4.2,$,0,MXN,"Tacuba 29, Centro Histórico"
70,Centro Documentación Cineteca,Biblioteca especializada en cine en Coyoacán.,19.357,-99.167,9:00,18:00,biblioteca,4.2,$,0,MXN,"Av. México Coyoacán 389, Xoco"
71,Biblioteca del Museo Carrillo Gil,Especializada en arte moderno en San Ángel.,19.326,-99.192,10:00,17:00,biblioteca,4.2,$,0,MXN,"Museo Carrillo Gil, San Ángel"
72,Biblioteca Emilio Uranga,Centro de documentación en filosofía y humanidades (FFyL UNAM).,19.332,-99.1885,9:00,18:00,biblioteca,4.1,$,0,MXN,Ciudad Universitaria
73,Biblioteca Octavio Paz,"Especializada en arte y literatura, Cuauhtémoc.",19.4322,-99.135,10:00,18:00,biblioteca,4.1,$,0,MXN,"Centro, Cuauhtémoc"
74,Biblioteca del Museo Tamayo,Arte contemporáneo y préstamo bajo cita.,19.422,-99.177,10:00,17:00,biblioteca,4.1,$,0,MXN,Bosque de Chapultepec
75,Archivo Histórico Iztapalapa,Centro de archivo y consulta en Iztapalapa.,19.355,-99.071,9:00,17:00,biblioteca,4,$,0,MXN,Iztapalapa
76,Biblioteca Vic. Guerrero,Biblioteca de antropología en Alameda del Sur.,19.32,-99.147,9:00,17:00,biblioteca,4,$,0,MXN,Alameda del Sur
77,Fondo Conventual Franz Mayer,Colección histórica en Museo Franz Mayer.,19.4325,-99.1415,10:00,18:00,biblioteca,4,$,0,MXN,"Av. Hidalgo 45, Centro"
78,Biblioteca del Instituto Biología,Biblioteca científica en UNAM CU.,19.331,-99.1895,9:00,17:00,biblioteca,4,$,0,MXN,"UNAM CU, Coyoacán"
79,Smart Fit Independencia,"Gimnasio con peso libre, cardio y entrenadores.",19.44,-99.134,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Independencia 40, Cuauhtémoc"
80,Smart Fit Doctores,Instalaciones modernas con clases grupales.,19.409,-99.144,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Dr. Liceaga 7, Doctores"
81,Smart Fit Boturini,"Gym accesible en zona Boturini, equipo básico y cardio.",19.425,-99.126,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Lorenzo Boturini 258, Cuauhtémoc"
82,Smart Fit Reforma 27,"Ubicado en Reforma, clases y equipo completo.",19.4265,-99.167,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Paseo de la Reforma 27, Cuauhtémoc"
83,Smart Fit Tlatelolco,"Gym cerca de Tlatelolco, con peso libre y clases.",19.445,-99.147,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Plaza Tlatelolco, Cuauhtémoc"
84,Smart Fit Reforma Ángel,"Frente a Ángel de la Independencia, gimnasio completo.",19.4277,-99.1674,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Reforma Ángel, Cuauhtémoc"
85,Smart Fit Torre Diana,"Gym en Torre Diana, con equipo moderno.",19.426,-99.1685,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Torre Diana, Cuauhtémoc"
86,Smart Fit Génova,"Ubicado en Roma Norte, peso libre y cardio.",19.4185,-99.1645,6:00,23:00,gimnasio,4.6,$$,499,MXN,"Génova, Roma Norte"
87,Smart Fit Roma Norte,Centro de Roma con clases y área amplia.,19.418,-99.163,6:00,23:00,gimnasio,4.6,$$,499,MXN,"Roma Norte, Cuauhtémoc"
88,Smart Fit Condesa,"En Condesa, con entrenadores y cardio.",19.4165,-99.169,6:00,23:00,gimnasio,4.6,$$,499,MXN,"Condesa, Cuauhtémoc"
89,Smart Fit Pabellón Cuauhtémoc,Gran gimnasio dentro de complejo,19.422,-99.166,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Pabellón Cuauhtémoc, Cuauhtémoc"
90,Smart Fit Masaryk,Gimnasio premium en Polanco.,19.431,-99.195,5:00,0:00,gimnasio,4.7,$$,599,MXN,"Masaryk 169, Miguel Hidalgo"
91,Smart Fit Miyana,"Instalaciones nuevas en Miyana, cardio y crossfit.",19.437,-99.192,5:00,0:00,gimnasio,4.6,$$,599,MXN,"Ejército Nacional 769, Miguel Hidalgo"
92,Smart Fit Legaria,Moderno con clases y peso libre.,19.448,-99.189,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Legaria, Miguel Hidalgo"
93,Smart Fit Plaza Galerías,"Amplio, estacionamiento y clases.",19.435,-99.195,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Plaza Galerías, Miguel Hidalgo"
94,Smart Fit Dos Patios,"Gym en Dos Patios, Miguel Hidalgo.",19.428,-99.19,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Dos Patios, Miguel Hidalgo"
95,Smart Fit Pericentro,"Ubicado en Pericentro, con equipo completo.",19.4225,-99.196,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Pericentro, Miguel Hidalgo"
96,Smart Fit Parque Delta,Gym en centro comercial Delta.,19.397,-99.163,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Parque Delta, Benito Juárez"
97,Smart Fit Citi Insurgentes,"Citi Insurgentes, acond. moderno.",19.398,-99.166,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Citi Insurgentes, Benito Juárez"
98,Smart Fit Universidad,"Cerca de universidad, con clases.",19.3975,-99.17,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Universidad, Benito Juárez"
99,Smart Fit Félix Cuevas,Equipado y bien ubicado.,19.392,-99.167,6:00,23:00,gimnasio,4.5,$$,499,MXN,"Félix Cuevas, Benito Juárez"
100,Smart Fit Amores,Clases y personal capacitado.,19.39,-99.166,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Amores, Benito Juárez"
101,Smart Fit Misterios,"En Gustavo A. Madero, peso y cardio.",19.465,-99.125,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Río Consulado 1688, GAM"
102,Smart Fit Henry Ford,"GAM, con entrenadores y equipo.",19.475,-99.112,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Henry Ford, GAM"
103,Smart Fit Lindavista,"Gimnasio en Lindavista, equipamiento completo.",19.507,-99.125,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Lindavista, GAM"
104,Smart Fit La Raza,"Ubicado en La Raza, con clases.",19.486,-99.136,6:00,23:00,gimnasio,4.3,$$,499,MXN,"La Raza, Azcapotzalco"
105,Smart Fit Camarones,"Gym en Camarones, Azcapotzalco.",19.5,-99.167,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Camarones, Azcapotzalco"
106,Smart Fit Ferrería,"Azcapotzalco, peso y cardio.",19.478,-99.161,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Ferrería, Azcapotzalco"
107,Smart Fit La Viga,"Iztacalco, gimnasio completo.",19.403,-99.111,6:00,23:00,gimnasio,4.4,$$,499,MXN,"La Viga, Iztacalco"
108,Smart Fit Vía 515,"Granjas de México, con virtual tour.",19.403,-99.111,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Viaducto Río Piedad 515, Iztacalco"
109,Smart Fit Churubusco,"Iztacalco, peso libre y cardio.",19.411,-99.105,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Río Churubusco 1072, Iztacalco"
110,Smart Fit Agrícola Oriental,Granjas de México/Iztacalco.,19.41,-99.103,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Agrícola Oriental, Iztacalco"
111,Smart Fit Tezontle,"Iztacalco, gimnasio con clases.",19.388,-99.108,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Tezontle, Iztacalco"
112,Smart Fit Aeropuerto,"Venustiano Carranza, cerca del AICM.",19.436,-99.072,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Aeropuerto, Venustiano Carranza"
113,Smart Fit Anfora,Vía en Venustiano Carranza.,19.42,-99.095,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Ánfora 71, Venustiano Carranza"
114,Smart Fit UAM-I,"Iztapalapa/UAM‑I, gimnasio público.",19.353,-99.091,6:00,23:00,gimnasio,4.2,$$,499,MXN,"UAM‑I, Iztapalapa"
115,Smart Fit Vicente Guerrero,"Iztapalapa, equipado completo.",19.355,-99.071,6:00,23:00,gimnasio,4.2,$$,499,MXN,"Vicente Guerrero, Iztapalapa"
116,Smart Fit Lomas Estrella,"Iztapalapa, peso y clases.",19.35,-99.105,6:00,23:00,gimnasio,4.2,$$,499,MXN,"Lomas Estrella, Iztapalapa"
117,Smart Fit Las Antenas,"Iztapalapa, gimnasio con virtual tour.",19.33,-99.081,6:00,23:00,gimnasio,4.2,$$,499,MXN,"Las Antenas, Iztapalapa"
118,Smart Fit Ermita,"Iztapalapa, peso y cardio.",19.32,-99.085,6:00,23:00,gimnasio,4.2,$$,499,MXN,"Ermita, Iztapalapa"
119,Smart Fit Santa Fe,Gran gimnasio en Centro Santa Fe.,19.35,-99.27,6:00,23:00,gimnasio,4.4,$$,499,MXN,"Santa Fe, Cuajimalpa"
120,Smart Fit Cuajimalpa,"Cuajimalpa centro, equipamiento completo.",19.344,-99.235,6:00,23:00,gimnasio,4.4,$$,499,MXN,Cuajimalpa
121,Smart Fit San Jerónimo,Continúa expansión en San Jerónimo.,19.31,-99.221,6:00,23:00,gimnasio,4.4,$$,499,MXN,"San Jerónimo, Magdalena Contreras"
122,Smart Fit Xochimilco,Gimnasio en Xochimilco centro.,19.266,-99.091,6:00,23:00,gimnasio,4.2,$$,499,MXN,Xochimilco
123,Smart Fit Arenal,"Alcaldía Xochimilco, gimnasio urbano.",19.265,-99.09,6:00,23:00,gimnasio,4.2,$$,499,MXN,"Arenal, Xochimilco"
124,Smart Fit Cuemanco,"Tlalpan, cerca de Cuemanco.",19.27,-99.105,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Cuemanco, Tlalpan"
125,Smart Fit Cuicuilco,"Tlalpan, gimnasio en CU sur.",19.312,-99.182,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Cuicuilco, Tlalpan"
126,Smart Fit Ajusco,"Tlalpan sur, equipado completo.",19.252,-99.19,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Ajusco, Tlalpan"
127,Smart Fit Copilco,"Coyoacán, cerca CU, bici y cardio.",19.323,-99.171,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Copilco, Coyoacán"
128,Smart Fit Coapa,"Coyoacán/Coapa, instalaciones nuevas.",19.319,-99.16,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Coapa, Coyoacán"
129,Smart Fit Miramontes,"Coyoacán, gimnasio activo.",19.311,-99.145,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Miramontes, Coyoacán"
130,Smart Fit Circuito Azteca,"Coyoacán norte, equipamiento completo.",19.34,-99.19,6:00,23:00,gimnasio,4.3,$$,499,MXN,"Circuito Azteca, Coyoacán"
131,Alberca Olímpica Francisco Márquez,Instalación olímpica cubierta usada en 1968; ideal para nado de laps.,19.397,-99.179,6:00,22:00,deportivo,4.6,$,0,MXN,"Av. División del Norte S/N, Benito Juárez"
132,Alberca Olímpica Universitaria,"Piscina olímpica en CU, parte del legado de los Juegos Olímpicos.",19.332,-99.189,6:00,22:00,deportivo,4.5,$,0,MXN,"Ciudad Universitaria, Coyoacán"
133,Alberca Olímpica Zacatenco,"Instalación deportiva en el IPN, abierta al público.",19.509,-99.123,6:00,22:00,deportivo,4.4,$,0,MXN,"Zacatenco, Gustavo A. Madero"
134,Club Cañada Jardines del Pedregal,Alberca semi-olímpica para natación y clases.,19.324,-99.202,6:00,21:00,deportivo,4.3,$,0,MXN,"Cañada 158, Pedregal"
135,Club Cañada Santa Fe,Instalación con alberca para tramos largos y clases.,19.354,-99.223,6:00,21:00,deportivo,4.3,$,0,MXN,"González Camarena 1205, Santa Fe"
136,Club Cañada Del Valle,Alberca techada ideal para nadadores y bebés.,19.402,-99.172,6:00,21:00,deportivo,4.3,$,0,MXN,"Gabriel Mancera 1620, Del Valle"
137,Utopía Papalotl Iztapalapa,Centro deportivo público con alberca semi‑olímpica.,19.345,-99.07,7:00,17:00,publico,4.4,$,0,MXN,Iztapalapa
138,Utopía Tezontli Iztapalapa,Parque acuático gratuito con chapoteadero y toboganes.,19.357,-99.08,7:00,17:00,publico,4.3,$,0,MXN,Iztapalapa
139,Balneario Olímpico Pantitlán,Alberca familiar y toboganes con precio accesible.,19.4,-99.09,9:00,16:30,publico,4.2,$,50,MXN,"Agrícola Pantitlán, Iztacalco"
140,Deportivo Nueva Atzacoalco,Alberca cubierta apta para natación libre y clases.,19.49,-99.106,6:00,22:00,deportivo,4.3,$,0,MXN,"Eduardo Molina 314, GAM"
141,Parque Acuático Utopía Meyehualco,Área acuática pública con chapoteaderos.,19.35,-99.08,7:00,17:00,publico,4.2,$,0,MXN,Iztapalapa
142,Parque Acuático Las Águilas Japón,Alberca gratuita con zona verde y chapoteadero.,19.33,-99.19,10:00,16:00,publico,4.2,$,0,MXN,Álvaro Obregón
143,Balneario San Juan de Aragón,"Complejo con albercas y clases, Cd. G. A. Madero",19.486,-99.099,9:00,18:00,publico,4.1,$,0,MXN,GAM
144,Parque Acuático Iztaccíhuatl,Centro con albercas infantiles y recreativas.,19.399,-99.09,9:00,18:00,publico,4.2,$,0,MXN,Venustiano Carranza
145,Albercas de Chapultepec (Baños de Moctezuma),Restos históricos reacondicionados en Chapultepec.,19.42,-99.184,9:00,17:00,patrimonio,4,$,0,MXN,Bosque de Chapultepec
146,Hotel Sofitel Reforma Pool,Alberca techada en hotel de lujo con day‑pass.,19.426,-99.168,10:00,18:00,hotel,4.6,$$$,1500,MXN,"Reforma 297, Cuauhtémoc"
147,Hotel Alia Rooftop Pool,Piscina rooftop boutique con day‑pass.,19.402,-99.182,11:00,18:00,hotel,4.5,$$$,700,MXN,"Nueva York 178, Nápoles"
148,Hotel Carlota Pool,Alberca instagrameable con bar y day‑pass.,19.427,-99.163,12:00,18:00,hotel,4.6,$$$,1200,MXN,"Río Amazonas 73, Cuauhtémoc"
149,Hotel Downtown Pool,Piscina elegante en centro histórico con day‑pass.,19.433,-99.135,12:00,18:00,hotel,4.5,$$$,890,MXN,"Isabel la Católica 30, Centro Histórico"
150,Kimpton Virgilio Rooftop Pool,Piscina rooftop con DJ y comida en Polanco.,19.432,-99.195,7:00,0:00,hotel,4.7,$$$,1200,MXN,"Virgilio 7, Polanco"
151,Centro Deportivo Lomas de San Jerónimo,"Complejo público con canchas, gimnasio y alberca.",19.348,-99.222,6:00,21:00,deportivo,4.3,$,0,MXN,"Col. Torres de Potrero, Álvaro Obregón"
152,Centro Deportivo Axomiatla,Instalaciones deportivas públicas variadas.,19.346,-99.23,6:00,21:00,deportivo,4.2,$,0,MXN,"Col. Lomas de Guadalupe, Álvaro Obregón"
153,Centro Deportivo Valentín Gómez Farías,Espacios para deporte comunitario.,19.352,-99.229,6:00,21:00,deportivo,4.2,$,0,MXN,"Circuito Plateros, Álvaro Obregón"
154,Centro Deportivo Rosario Iglesias,"Centro con múltiples disciplinas, BJ.",19.402,-99.167,6:00,21:00,deportivo,4.4,$,0,MXN,"Santa Cruz Atoyac, Benito Juárez"
155,Complejo Olímpico México 68,"Incluye alberca, gimnasio y canchas.",19.397,-99.164,6:00,22:00,deportivo,4.6,$,0,MXN,"Av. División del Norte 2333, Benito Juárez"
